"Evnt_Time","Evnt_ID","Evnt_Name","Item_Name","Alias_Name","Group_ID","Num_Args","Arg1_Name","Arg1_Value","Arg2_Name","Arg2_Value","Arg3_Name","Arg3_Value","Arg4_Name","Arg4_Value","Arg5_Name","Arg5_Value"
"0","28","Input Definition","(SYSTEM)","","0","5","Tray #1","0","BIRBeam #1","1","FIRBeam #1","2","RightFIRBeam #1","3","FeederFault #1","4"
"0","28","Input Definition","(SYSTEM)","","0","1","FeederReport #1","5",,,,,,,,
"0","27","Output Definition","(SYSTEM)","","0","5","HouseLight #1","0","TrayLight #1","1","Feeder #1","2","Sound_On #1","3","White_Noise_Off #1","4"
"0","27","Output Definition","(SYSTEM)","","0","5","Sound #1","5","Sound #2","6","Sound #3","7","Shocker #1","8","Laser #1","9"
"0","27","Output Definition","(SYSTEM)","","0","5","Laser #2","10","Laser #3","11","Feeder #2","14","TTL #1","15","TTL #2","16"
"0","27","Output Definition","(SYSTEM)","","0","5","PlexonBit #1","21","PlexonBit #2","22","PlexonBit #3","23","PlexonBit #4","24","PlexonBit #5","25"
"0","27","Output Definition","(SYSTEM)","","0","4","PlexonBit #6","26","PlexonBit #7","27","PlexonBit #8","28","Strobe #1","29",,
"0","16","Variable Event","_Schedule_Timer","","0","1","Value","0",,,,,,,,
"0","16","Variable Event","_Trial_Counter","","0","1","Value","1",,,,,,,,
"0","16","Variable Event","_Trial_Timer","","0","1","Value","0",,,,,,,,
"0","16","Variable Event","Big_Grid_Position","","0","1","Value","1",,,,,,,,
"0","16","Variable Event","BigRew_forced_counter","","0","1","Value","0",,,,,,,,
"0","16","Variable Event","BigRew_free_counter","","0","1","Value","0",,,,,,,,
"0","16","Variable Event","BigRewLiquid","","0","1","Value","2000",,,,,,,,
"0","16","Variable Event","BlankSide_touch_during_ForcedTrial","","0","1","Value","0",,,,,,,,
"0","16","Variable Event","Forced_blank_position","","0","1","Value","0",,,,,,,,
"0","16","Variable Event","Forced_img_position","","0","1","Value","0",,,,,,,,
"0","16","Variable Event","forcedtrial_omission","","0","1","Value","0",,,,,,,,
"0","16","Variable Event","FreeChoice_trials","","0","1","Value","0",,,,,,,,
"0","16","Variable Event","freetrial_omission","","0","1","Value","0",,,,,,,,
"0","16","Variable Event","FreeTrials_counter","","0","1","Value","0",,,,,,,,
"0","16","Variable Event","HouseLight_Normally_On","","0","1","Value","1",,,,,,,,
"0","16","Variable Event","ITI_time","","0","1","Value","10",,,,,,,,
"0","16","Variable Event","ITI_timer","","0","1","Value","0",,,,,,,,
"0","16","Variable Event","Laser_pulse","","0","1","Value","5",,,,,,,,
"0","16","Variable Event","LeftBlank_touch_during_ITI","","0","1","Value","0",,,,,,,,
"0","16","Variable Event","Presentation_timer","","0","1","Value","0",,,,,,,,
"0","16","Variable Event","RepeatedBig_touch_before_Retrieve_Rew","","0","1","Value","0",,,,,,,,
"0","16","Variable Event","RepeatedSmall_touch_before_Retrieve_Rew","","0","1","Value","0",,,,,,,,
"0","16","Variable Event","Response_window","","0","1","Value","20",,,,,,,,
"0","16","Variable Event","RightBlank_touch_during_ITI","","0","1","Value","0",,,,,,,,
"0","16","Variable Event","Session1","","0","1","Value","1",,,,,,,,
"0","16","Variable Event","Session2","","0","1","Value","0",,,,,,,,
"0","16","Variable Event","Session3","","0","1","Value","0",,,,,,,,
"0","16","Variable Event","Session4","","0","1","Value","0",,,,,,,,
